,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,695,710,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,24,24,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,23,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,47,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,79,69,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,_,_,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,19,46,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,18,18,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,52,52,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,57,4,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,12,11,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,12,11,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,83,68,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,23,38,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,6,8,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,21,20,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,64,92,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,12,10,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,41,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,26,25,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,51,42,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,6,7,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,1,0,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,7,14,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,2,2,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,_,16,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,4,4,,,,,,,
Mid County Transit Authority,,,,,,,,,,6,6,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,15,15,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,3,3,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,12,12,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,5,5,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,20,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,46,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,8,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,41,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,736,693,701,,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,42,42,40,,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,13,6,6,,,,
Butler Transit Authority (BTA),,,,,,,,,,,,4,1,1,,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,33,21,23,,,,
Capital Area Transit (CAT),,,,,,,,,,,,69,81,81,,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,_,_,_,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,43,13,13,,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,_,_,_,,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,14,14,14,,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,34,28,13,,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,8,8,8,,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,12,12,3,,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,95,95,95,,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,5,5,5,,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,10,12,13,,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,8,8,,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,3,3,,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,32,32,,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,18,18,,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,14,12,,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,13,13,,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,58,57,,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,11,11,,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,6,6,,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,_,_,,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,49,37,,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,23,18,,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,7,7,,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,9,9,,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,14,12,,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,30,30,,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,20,20,,,,
