,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,_,_,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,_,_,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,_,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,_,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,_,_,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,_,_,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,_,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,_,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,_,_,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,_,_,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,_,_,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,_,_,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,_,_,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,_,_,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,_,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,_,_,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,12,14,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,_,_,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,_,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,_,_,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,48,_,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,_,_,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,_,_,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,_,_,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,_,_,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,_,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,_,_,,,,,,,
Mid County Transit Authority,,,,,,,,,,_,_,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,_,_,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,_,_,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,_,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,_,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,_,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,_,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,_,,,,,,,
