,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"306,225,840",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"69,081,443","66,582,150","67,574,004","65,077,883","62,725,424","64,663,052","62,288,879","62,507,941","64,128,410","62,753,783","62,176,355",,,,,,,
AMTRAN (Altoona Metro Transit),"739,751","609,189","676,391","699,407","729,177","696,008","687,793","642,524","585,457","599,957","570,176",,,,,,,
BCTA (Beaver County Transit Authority*),"703,197","785,076","840,868","871,706","931,566","986,753","948,395","895,207","925,927","919,800",,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"2,807,210","2,916,824",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"1,366,802",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"2,404,109","2,525,078","2,656,259","2,611,177","2,709,406","2,775,805","2,705,281","2,696,660","2,592,850","2,380,063",,,,,,,,
Capitol Bus Company,"6,661","7,834","7,001",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"6,211,921","6,534,609","7,017,605","7,209,959","7,201,534","7,052,727","7,126,185","7,399,865","7,379,790","7,071,387",,,,,,,,
COLTS (County of Lackawanna Transit System),"1,892,539","2,030,106","2,043,765","1,736,470","1,691,720","1,245,924","1,162,260","1,157,424","1,132,246","1,144,835",,,,,,,,
COLT (County of Lebanon Transit Authority),"253,882","308,654","311,293",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"2,605,037","2,949,681","3,078,543","3,028,250","3,208,037","3,469,011","3,378,642","3,274,894","3,355,186","3,073,634",,,,,,,,
FACT (Fayette Area Coordinated Transportation),"115,606","108,656","131,581","118,222","170,405","186,147","199,309","205,528","194,122","157,095",,,,,,,,
HPT (Hazleton Public Transit),"211,441","242,126","247,209","203,315","209,827","223,150","216,811","229,382","221,088","216,264",,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"5,432,208","5,327,750","5,684,868","5,610,143","5,742,768",,,,,"5,069,200",,,,,,,,
LCTA (Luzerne County Transportation Authority),"1,515,173","1,681,136","1,754,756","1,620,588","1,696,599","1,186,307","1,207,716","1,208,830","1,209,901","1,238,977",,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"339,875","347,178","374,271","428,501","343,564","336,248","340,055","340,361","327,724","305,325",,,,,,,,
Pottstown Urban Transit,"266,099",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"1,961,125","2,045,450","2,079,387","1,847,710","1,891,741","1,966,841","1,925,555","1,923,101","1,958,060",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"106,020","104,103","97,158","87,796","91,772",,,,,,,,,,,,,
"Washington, City of","43,827","46,345","47,431","45,131","46,419","45,559","57,785","71,755","67,177",,,,,,,,,
WCTA (Westmoreland County Transit Authority),"371,157",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"1,266,704","1,287,649","1,297,367","1,297,001","1,337,204","1,407,612","1,358,876","1,318,320","1,306,118","1,316,513",,,,,,,,
YCTA (York County Transportation Authority),"1,967,821",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"327,491","347,327","319,395","317,124","335,203","327,593","430,438","440,865","426,776","411,202",,,,,,,,
BTA (Butler Transit Authority),"152,124","214,407","239,009","233,172","219,266","245,986","218,278","222,268","200,293","199,830",,,,,,,,
Carbon County Community Transit,"10,092","8,385","8,015","10,214","9,098","9,740","7,198","6,687",,,,,,,,,,
CATA (Crawford Area Transportation Authority),"188,960","193,807","208,795","216,723","232,192","241,333","237,705","235,672","244,735","236,740",,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","57,874",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"114,284","119,084","142,632","123,270","150,884","125,787","125,316","137,256","150,488","133,892",,,,,,,,
Indigo (Indiana County Transit Authority),"224,046","227,979","446,185",,,,,,,,,,,,,,,
Mid-County Transit,"53,645","56,007","53,793","45,872","52,151",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),"290,618","320,574","347,095","236,087","212,163","241,333","239,311","246,986","243,101","253,538",,,,,,,,
Monroe Township,"48,583",,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of","56,710","50,814","56,406","55,900","55,073","19,880","23,055",,,,,,,,,,,
