,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"3,317,418",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244",,,,,,,,,,
AMTRAN (Altoona Metro Transit),"69,608","69,608","69,608","69,608","69,608","69,608","69,608","69,608",,,,,,,,,,
BCTA (Beaver County Transit Authority*),"204,441","204,441","204,441","204,441","204,441","171,673","171,673",,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"373,638","373,638",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"152,598",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"292,904","292,904","292,904","292,904","292,904","414,621","508,279",,,,,,,,,,,
Capitol Bus Company,"18,138","18,138","18,138",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),83.444,"83,444","83,444","83,444","83,444","112,000","112,000",,,,,,,,,,,
COLTS (County of Lackawanna Transit System),"339,009","339,009","213,295","213,295","213,295","339,009","339,009",,,,,,,,,,,
COLT (County of Lebanon Transit Authority),"120,327","120,327","120,327",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"189,872","189,872","189,872","189,872","189,872","189,872","189,872",,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),"148,644","148,644","148,644","148,644","148,644","136,606","136,606",,,,,,,,,,,
HPT (Hazleton Public Transit),"52,000","52,000","52,000","52,000","52,000","58,043","58,043",,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"579,156","579,156","579,156","579,156","579,156",,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),"202,500","202,500","202,500","202,500","202,500","202,500","202,500",,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"56,508","56,508","56,508","56,508","56,508","56,508","66,086",,,,,,,,,,,
Pottstown Urban Transit,"51,000",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"420,920","420,920","420,920","420,920","420,920","420,920","420,920",,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"120,293","120,293","120,293","120,293","120,293",,,,,,,,,,,,,
"Washington, City of","61,634","61,634","61,634","61,634","61,634","61,634","61,634",,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),"297,851",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"69,764","69,764","69,764","69,764","69,764","69,764","69,764",,,,,,,,,,,
YCTA (York County Transportation Authority),"381,751",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"234,416","234,416","234,416","234,416","234,416","224,780","224,780",,,,,,,,,,,
BTA (Butler Transit Authority),"33,339","33,339","33,339","33,339","33,339","31,084","31,084",,,,,,,,,,,
Carbon County Community Transit,"58,802","58,802","58,802","58,802","58,802","25,419","25,419",,,,,,,,,,,
CATA (Crawford Area Transportation Authority),"86,169","86,169","86,169","86,169","86,169","20,060","20,060",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","18,378",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"110,690","110,690","110,690","110,690","110,690","61,852","61,852",,,,,,,,,,,
Indigo (Indiana County Transit Authority),"89,994","89,994","89,994",,,,,,,,,,,,,,,
Mid-County Transit,"11,837","11,837","11,837","11,837","11,837",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),"119,911","138,687","138,687","138,687","138,687","141,292","141,292",,,,,,,,,,,
Monroe Township,"8,755",,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of","33,000","33,000","33,000","33,000","33,000","29,713","29,713",,,,,,,,,,,
NCATA (New Castle Area Transit Authority),"96,246","96,246","96,246","96,246","96,246","74,880","74,880",,,,,,,,,,,
STS (Schuylkill Transportation System),"150,336","150,336","150,336","150,336","150,336","97,441","97,441",,,,,,,,,,,
VCTO (Venango County Transportation Office),"36,354","36,354","36,354","36,354","36,354",,"33,759",,,,,,,,,,,
Warren County Transit Authority,"579,156","43,863","43,863",,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,"152,598","152,598","152,598","152,598","80,508","80,508",,,,,,,,,,,
"Pottstown, Borough of",,"51,000","51,000",,,,,,,,,,,,,,,
