,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,315,449,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,15,15,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,_,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,_,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,26,26,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,7,7,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,_,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,_,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,7,7,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,_,_,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,3,3,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,_,_,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,137,137,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,_,_,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,_,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,38,38,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,116,116,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,92,92,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,87,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,_,_,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,3,3,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,7,7,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,19,19,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,0,0,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,0,0,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,0,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,0,0,,,,,,,
Mid County Transit Authority,,,,,,,,,,0,0,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,0,0,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,2,2,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,7,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,0,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,0,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,_,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,12,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,87,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,320,292,292,,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,3,3,2,,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,_,_,_,,,,
Butler Transit Authority (BTA),,,,,,,,,,,,7,14,14,,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,_,_,_,,,,
Capital Area Transit (CAT),,,,,,,,,,,,26,26,26,,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,17,17,8,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,7,4,4,,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,7,7,7,,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,0,_,_,,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,0,_,_,,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,12,12,12,,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,_,_,_,,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,107,107,88,,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,_,_,_,,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,92,92,92,,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,15,15,,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,2,2,,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,_,_,,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,_,_,,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,_,_,,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,3,3,,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,18,18,,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,_,_,,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,123,93,,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,_,_,,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,_,_,,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,_,_,,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,38,43,,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,80,80,,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,_,_,,,,
