,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"2,252",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),953,946,952,931,_,_,_,_,_,_,,,,,,,,
AMTRAN (Altoona Metro Transit),36,36,36,30,26,26,26,26,24,_,,,,,,,,
BCTA (Beaver County Transit Authority*),31,31,25,25,21,22,24,24,23,_,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),54,54,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),49,,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),78,78,78,78,78,83,79,79,78,_,,,,,,,,
Capitol Bus Company,1,1,1,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),52,52,52,61,61,64,66,71,71,_,,,,,,,,
COLTS (County of Lackawanna Transit System),37,37,33,33,33,36,36,35,35,_,,,,,,,,
COLT (County of Lebanon Transit Authority),11,13,13,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),69,74,77,73,75,73,73,73,74,_,,,,,,,,
FACT (Fayette Area Coordinated Transportation),10,10,10,10,10,12,12,12,12,_,,,,,,,,
HPT (Hazleton Public Transit),13,13,13,12,12,15,12,12,14,_,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),78,78,78,78,78,,,,,_,,,,,,,,
LCTA (Luzerne County Transportation Authority),38,38,38,38,38,38,38,38,38,_,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),25,25,25,25,25,25,31,31,28,_,,,,,,,,
Pottstown Urban Transit,8,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),45,45,43,43,43,42,42,42,42,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),6,6,6,6,3,,,,,,,,,,,,,
"Washington, City of",5,5,5,5,5,7,8,9,8,,,,,,,,,
WCTA (Westmoreland County Transit Authority),31,,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),33,33,33,33,33,29,29,29,35,_,,,,,,,,
YCTA (York County Transportation Authority),36,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),87,87,87,87,42,42,50,50,40,_,,,,,,,,
BTA (Butler Transit Authority),6,6,6,6,6,6,6,6,6,_,,,,,,,,
Carbon County Community Transit,1,1,1,1,1,1,1,1,,,,,,,,,,
CATA (Crawford Area Transportation Authority),5,5,5,7,7,7,8,8,7,_,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",5,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),13,13,19,19,19,16,19,16,16,_,,,,,,,,
Indigo (Indiana County Transit Authority),15,15,15,,,,,,,,,,,,,,,
Mid-County Transit,6,6,6,6,6,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),15,15,15,15,15,15,11,15,15,_,,,,,,,,
Monroe Township,3,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",3,3,3,3,3,4,4,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),30,30,30,30,30,30,35,,,,,,,,,,,
STS (Schuylkill Transportation System),14,14,14,14,14,14,14,14,12,_,,,,,,,,
VCTO (Venango County Transportation Office),4,3,3,3,3,,3,3,5,_,,,,,,,,
Warren County Transit Authority,78,5,5,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,49,49,47,_,_,_,_,_,_,,,,,,,,
"Pottstown, Borough of",,8,8,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,33,33,33,33,41,43,43,,_,,,,,,,,
YCTA (York County Transportation Authority*),,36,36,36,44,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,5,5,5,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,54,53,57,57,57,57,57,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,13,18,18,18,18,18,_,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,8,8,9,9,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,21,21,21,23,23,16,_,,,,,,,,
"Warren County, Transit Authority of",,,,5,5,,5,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,6,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,83,83,83,83,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,5,5,5,5,_,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,48,58,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,6,6,6,6,_,,,,,,,,
Mid County Transit Authority,,,,,,6,6,6,6,_,,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,58,,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,4,,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,5,,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,3,,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,41,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,59,,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,1,_,,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,4,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,5,_,,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,_,,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,_,,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,_,,,,,,,,
