,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,"$183,020,400","$184,457,990","$184,457,990","$177,623,977","$183,093,002","$184,457,990","$204,457,990","$212,449,588","$221,589,338","$224,853,621",,,,,,,
AMTRAN (Altoona Metro Transit),,"$2,302,913","$2,387,064","$2,298,625","$2,298,625","$2,369,400","$2,401,014","$2,553,288","$2,713,473","$2,890,413","$2,949,971",,,,,,,
BCTA (Beaver County Transit Authority*),,"$2,552,736","$2,995,854","$2,884,860","$2,884,860","$2.973,660","$3,002,857","$3,116,439","$3,340,221","$3,591,603",,,,,,,,
BARTA (Berks Area Reading Transportation Authority),,"$5,860,266",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,"$5,702,093","$5,833,890","$5,617,749","$5,617,749","$5,790,578","$5,833,890","$6,005,477","$6,344,363","$6,687,111",,,,,,,,
CAT (Capital Area Transit),,"$5,361,390","$6,416,998","$6,179,254","$6,179,254","$6,369,512","$6,503,345","$6,903,528","$7,421,148","$7,999,678","$8,200,907",,,,,,,
Capitol Bus Company,,"$118,134","$124,785",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),,"$2,815,238","$3,378,286","$3,253,123","$3,253,123","$3,353,287","$3,760,383","$4,470,510","$5,063,802","$5,785,172","$6,016,341",,,,,,,
COLTS (County of Lackawanna Transit System),,"$5,828,003","$6,336,434","$6,101,674","$6,101,674","$6,289,608","$6,336,434","$6,336,434","$6,289,858","$6,653,784","$6,781,013",,,,,,,
COLT (County of Lebanon Transit Authority),,"$1,206,767","$1,351,452",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,"$5,759,313","$6,817,189","$6,564,618","$6,564,618","$6,766,674","$6,993,855","$7,634,969","$8,369,496","$9,089,131","$9,347,654",,,,,,,
FACT (Fayette Area Coordinated Transportation),,"$485,517","$582,620","$582,620","$561,034","$578,254","$648,516","$769,260","$877,942","$1,008,395","$1,051,458",,,,,,,
HPT (Hazleton Public Transit),,"$1,489,523","$1,561,118","$1,503,280","$1,503,280","$1,549,425","$1,549,425","$1,638,370","$1,745,084","$1,872,380","$1,917,106",,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,"$9,700,688","$11,640,826","$11,209,543","$11,209,543",,,,,"$15,965,932","$16,431,609",,,,,,,
LCTA (Luzerne County Transportation Authority),,"$4,464,782","$4,877,313","$4,696,613","$4,696,613","$4,840,733","$4,578,510","$4,842,542","$5,149,086","$5,494,688","$5,615,005",,,,,,,
