,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,_,_,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,2,_,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,24,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,13,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,52,_,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,6,_,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,30,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,14,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,224,_,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,63,_,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,31,_,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,4,_,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,108,_,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,49,_,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,2,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,_,_,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,113,_,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,70,_,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,40,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,_,_,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,_,_,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,_,_,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,24,_,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,35,_,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,4,_,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,45,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,14,_,,,,,,,
Mid County Transit Authority,,,,,,,,,,22,_,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,37,_,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,_,_,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,4,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,23,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,10,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,_,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,_,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,_,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,_,_,_,,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,_,_,_,,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,_,_,_,,,,
Butler Transit Authority (BTA),,,,,,,,,,,,_,_,_,,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,_,_,_,,,,
Capital Area Transit (CAT),,,,,,,,,,,,_,_,_,,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,_,_,_,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,_,_,_,,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,_,_,_,,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,_,_,_,,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,_,_,_,,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,_,_,_,,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,_,_,_,,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,_,_,_,,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,_,_,_,,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,_,_,_,,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,_,_,,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,_,_,,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,_,_,,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,_,_,,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,_,_,,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,_,_,,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,_,_,,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,_,_,,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,_,_,,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,_,_,,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,_,_,,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,_,_,,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,_,_,,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,_,_,,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,_,_,,,,
