,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"2,252",,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),953,946,952,931,_,_,_,_,_,_,,,,,,,,
ALTOONA METRO TRANSIT (AMTRAN),36,36,36,30,26,26,26,26,24,_,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),31,31,25,25,21,22,24,24,23,_,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),54,54,54,53,57,57,57,57,57,,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),49,49,49,47,_,_,_,_,_,_,,,,,,,,
Capital Area Transit (CAT),78,78,78,78,78,83,79,79,78,_,,,,,,,,
Capitol Bus Company,1,1,1,,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),52,52,52,61,61,64,66,71,71,_,,,,,,,,
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),37,37,33,33,33,36,36,35,35,_,,,,,,,,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),11,13,13,13,18,18,18,18,18,_,,,,,,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),69,74,77,73,75,73,73,73,74,_,,,,,,,,
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),10,10,10,10,10,12,12,12,12,_,,,,,,,,
HAZLETON PUBLIC TRANSIT (HPT),13,13,13,12,12,15,12,12,14,_,,,,,,,,
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),78,78,78,78,78,83,83,83,83,_,,,,,,,,
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),38,38,38,38,38,38,38,38,38,_,,,,,,,,
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),25,25,25,25,25,25,31,31,28,_,,,,,,,,
POTTSTOWN AREA RAPID TRANSIT (PART),8,8,8,8,8,9,9,9,9,_,,,,,,,,
RRTA (Red Rose Transit Authority),45,45,43,43,43,42,42,42,42,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),6,6,6,6,3,,,,,,,,,,,,,
"Washington, City of",5,5,5,5,5,7,8,9,8,,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),31,33,33,33,33,41,43,43,41,_,,,,,,,,
Williamsport River Valley Transit (RVT),33,33,33,33,33,29,29,29,35,_,,,,,,,,
YCTA (York County Transportation Authority*),36,36,36,36,44,,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,87,87,87,87,42,42,50,50,40,_,,,,,,,,
BUTLER TRANSIT AUTHORITY (BTA),6,6,6,6,6,6,6,6,6,_,,,,,,,,
Carbon County Community Transit (CCCT),1,1,1,1,1,1,1,1,1,_,,,,,,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),5,5,5,7,7,7,8,8,7,_,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",5,5,5,5,6,6,6,6,6,_,,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),13,13,19,19,19,16,19,16,16,_,,,,,,,,
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),15,15,15,21,21,21,23,23,16,_,,,,,,,,
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),6,6,6,6,6,6,6,6,6,_,,,,,,,,
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),15,15,15,15,15,15,11,15,15,_,,,,,,,,
Monroe Township,3,,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),3,3,3,3,3,4,4,4,4,_,,,,,,,,
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),30,30,30,30,30,30,35,35,34,_,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),14,14,14,14,14,14,14,14,12,_,,,,,,,,
VCTO (Venango County Transportation Office),4,3,3,3,3,3,3,3,5,_,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),78,5,5,5,5,5,5,5,5,_,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,5,5,5,5,_,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,48,58,58,59,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,3,_,,,,,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,_,,,,,,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,_,,,,,,,,
