,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),$1.71,,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),$1.25,$1.43,$1.57,$1.46,$1.46,$1.58,$1.68,$1.67,,,,,,,,,,
AMTRAN (Altoona Metro Transit),$1.19,$1.19,$1.19,$1.23,$1.28,$1.37,$1.30,$1.32,,,,,,,,,,
BCTA (Beaver County Transit Authority*),$1.87,$1.87,$1.87,$1.75,$1.85,$1.81,$1.89,,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),$1.08,$1.08,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),$1.08,,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),$1.25,$1.27,$1.27,$1.27,$1.27,$1.48,$1.52,,,,,,,,,,,
Capitol Bus Company,$4.27,$4.27,$4.27,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),$0.64,$0.64,$0.64,$0.70,$0.79,$0.83,$0.85,,,,,,,,,,,
COLTS (County of Lackawanna Transit System),$1.22,$1.22,$1.22,$1.28,$1.28,$1.14,$1.19,,,,,,,,,,,
COLT (County of Lebanon Transit Authority),$1.11,$1.11,$1.11,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),$1.16,$1.16,$1.15,$1.06,$1.10,$0.91,$0.95,,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),$1.18,$1.24,$1.24,$1.68,$1.90,$1.68,$1.83,,,,,,,,,,,
HPT (Hazleton Public Transit),$1.34,$1.34,$1.34,$1.27,$1.25,$1.13,$1.19,,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),$0.75,$0.75,$0.75,$0.84,$0.84,,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),$1.18,$1.18,$1.18,$1.26,$1.50,$1.29,$1.26,,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),$2.72,$2.72,$2.72,$1.79,$1.79,$2.19,$2.12,,,,,,,,,,,
Pottstown Urban Transit,$1.37,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),$1.27,$1.27,$1.35,$1.40,$1.57,$1.48,$1.52,,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),$0.57,$0.57,$0.57,$0.57,$0.57,,,,,,,,,,,,,
"Washington, City of",$2.21,$2.21,$2.21,$2.39,$1.53,$2.65,$2.49,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),$1.83,,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),$0.79,$0.79,$0.79,$0.86,$1.03,$0.86,$0.87,,,,,,,,,,,
YCTA (York County Transportation Authority),$1.49,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),$2.78,$2.44,$1.06,$0.80,$1.28,$2.01,$1.11,,,,,,,,,,,
BTA (Butler Transit Authority),$1.11,$1.11,$1.11,$0.91,$0.91,$0.79,$1.12,,,,,,,,,,,
Carbon County Community Transit,$1.37,$1.37,$1.37,$2.41,$2.41,$1.39,$1.02,,,,,,,,,,,
CATA (Crawford Area Transportation Authority),$0.66,$0.66,$0.66,$0.92,$0.92,$0.86,$0.82,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",$0.68,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),$1.16,$1.16,$1.16,$0.72,$0.72,$0.88,$0.59,,,,,,,,,,,
Indigo (Indiana County Transit Authority),$1.00,$1.00,$1.00,,,,,,,,,,,,,,,
Mid-County Transit,$1.19,$1.19,$1.19,$1.22,$1.22,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),$0.66,$0.66,$0.66,$1.06,$1.06,$1.02,$1.92,,,,,,,,,,,
Monroe Township,$0.70,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",$1.20,$1.20,$1.20,$1.27,$1.27,$0.97,$1.02,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),$1.25,$1.25,$1.25,$1.52,$1.52,$1.79,$2.15,,,,,,,,,,,
STS (Schuylkill Transportation System),$1.39,$1.39,$1.39,$1.34,$1.34,$1.34,$1.39,,,,,,,,,,,
VCTO (Venango County Transportation Office),$1.38,$1.38,$1.38,$1.47,$1.75,,$1.54,,,,,,,,,,,
Warren County Transit Authority,$0.66,$0.66,$0.66,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,$1.08,$1.08,$1.08,$1.07,$0.97,$0.98,,,,,,,,,,,
"Pottstown, Borough of",,$1.37,$1.37,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,$1.83,$1.83,$2.40,$2.30,$2.27,$2.70,,,,,,,,,,,
YCTA (York County Transportation Authority*),,$1.49,$1.49,$1.38,$1.38,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,$0.68,$0.68,$0.85,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,$1.08,$1.08,$1.01,$1.08,$1.11,,,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,$1.41,$1.75,$1.68,$1.70,,,,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,$1.24,$1.24,$1.24,$1.33,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,$1.29,$1.29,$1.37,$1.44,,,,,,,,,,,
"Warren County, Transit Authority of",,,,$0.73,$0.73,,$0.84,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,$0.83,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,$1.15,$1.11,,,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,$0.59,$0.60,,,,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,$1.42,$1.42,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,$0.63,$0.61,,,,,,,,,,,
Mid County Transit Authority,,,,,,$1.30,$1.46,,,,,,,,,,,
